compound_name	smiles	CID	logBB	BBB+/BBB-	comments
acebutolol	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C	1978	−0.15		
acetaminophen	CC(=O)NC1=CC=C(C=C1)O	1983	−0.31		
alprazolam	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4	2118	0.04		
antipyrine	CC1=CC(=O)N(N1C)C2=CC=CC=C2	2206	−0.10		
barbital	CCC1(C(=O)NC(=O)NC1=O)CC	2294	−0.14		
benzocaine	CCOC(=O)C1=CC=C(C=C1)N	2337	0.27		
betahistine	CNCCC1=CC=CC=N1	2366	−0.30		
betaxolol	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O	2369	0.39		
chlorpromazine	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	2726	1.36		
citalopram	CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F	2771	0.48		
clonidine	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	2803	0.11		
codeine	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O	5284371	0.45		
desipramine	CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31	2995	1.2		
diazepam	CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3	3016	0.52		
diltiazem	CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC	39186	0.3		
diphenhydramine	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2	3100	1.2		
eserine	CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C	5983	0.08		
fluphenazine	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO	3372	1.51		
haloperidol	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	3559	1.34		
hydroxyzine	C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl	3658	0.9		
ibuprofen	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	3672	−0.18		
imipramine	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31	3696	1.06		
lamotrigine	C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N	3878	0.48		
lidocaine	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C	3676	0.34		
loperamide	CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4	3955	0.77		
mianserin	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42	4184	0.99		
nicotine	CN1CCCC1C2=CN=CC=C2	89594	0.4		
norfloxacin	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O	4539	−1.00		
olanzapine	CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C	135398745	0.8		
oxazepam	C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O	4616	0.61		
pindolol	CC(C)NCC(COC1=CC=CC2=C1C=CN2)O	4828	0.3		
promazine	CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31	4926	1.23		
promethazine	CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C	4927	1.3		
propofol	CC(C)C1=C(C(=CC=C1)C(C)C)O	4943	0.48		
propranolol	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O	4946	0.64		
pyrilamine	CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2	4992	0.49		
quinidine	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O	441074	−0.46		
risperidone	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	5073	−0.02		
ropinirole	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1	5095	0.25		
sertraline	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl	68617	1.6		
sotalol	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O	5253	−0.28		
theophylline	CN1C2=C(C(=O)N(C1=O)C)NC=N2	2153	−0.29		
tramadol	CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O	33741	0.7		
trazodone	C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl	5533	0.3		
zidovudine	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]	35370	−1.00		
