compound_name	smiles	CID	logBB	BBB+/BBB-	comments
butanone	CCC(=O)C	6569	-0.08		
benzene	C1=CC=CC=C1	241	0.37		
3-methylpentane	CCC(C)CC	7282	1.01		
3-methylhexane	CCCC(C)CC	11507	0.9		
2-propanol	CC(C)O	3776	-0.15		
2-methylpropanol	CC(C)CO	6560	-0.17		
2-methylpentane	CCCC(C)C	7892	0.97		
2,2-dimethylbutane	CCC(C)(C)C	6403	1.04		
1,1,1-trifluoro-2-chloroethane	C(C(F)(F)F)Cl	6408	0.08		
1,1,1-trichloroethane	CC(Cl)(Cl)Cl	6278	0.4		
diethyl ether	CCOCC	3283	0.8		
enflurane	C(C(OC(F)F)(F)F)(F)Cl	3226	0.24		
ethanol	CCO	702	-0.16		
fluroxene	C=COCC(F)(F)F	9844	0.13		
halothane	C(C(F)(F)F)(Cl)Br	3562	0.35		
heptane	CCCCCCC	8900	0.81		
hexane	CCCCCC	8058	0.8		
isoflurane	C(C(F)(F)F)(OC(F)F)Cl	3763	0.42		
methane	C	297	0.04		
methylcyclopentane	CC1CCCC1	7296	0.93		
nitrogen	N#N	947	0.03		
pentane	CCCCC	8003	0.76		
propanol	CCCO	1031	-0.16		
propanone	CC(=O)C	180	-0.15		
teflurane	C(C(F)(F)F)(F)Br	31300	0.27		
toluene	CC1=CC=CC=C1	1140	0.37		
trichloroethene	C(=C(Cl)Cl)Cl	6575	0.34		
