compound_name	smiles	CID	logBB	BBB+/BBB-	comments
1-(3-Fluoropropyl)-2-nitroimidazole (FPN)	[O-][N+](=O)C1=NC=C[N]1CCCF		-0.23999999		
1-(8-fluorooctyl)-2-nitroimidazole (FON)	[O-][N+](=O)C1=NC=C[N]1CCCCCCCCF		-0.17		
1,2,3,4-Tetrahydroquinoline	C1CNC2=C(C1)C=CC=C2		0.64999998		
16a-fluoroestradiol (estradiol-16a-fluoro)	CC12CCC3C(CCC4=CC(=CC=C34)O)C1CC(F)C2O		-0.30050001		
1-hexyl-4-(4-iodophenyl)piperazine	CCCCCC[NH+]1CCN(CC1)C2=CC=C(I)C=C2		1.01		
1-Hydroxymidazolam	OCC1=NC=C2CN=C(C3=CC=CC=C3F)C4=CC(=CC=C4[N]12)Cl		-0.07		
1-isobutyl-4-(4-iodophenyl)piperazine	CCC(C)[NH+]1CCN(CC1)C2=CC=C(I)C=C2		1.38		
2',3'-Dideoxy-3'-hydroxymethylcytidine	NC1=NC(=O)N(C=C1)C2CC(CO)C(CO)O2		-0.79000002		
2-OH Desm. Imipramine	C[NH2+]CCCN1C2=C(CCC3=C1C=CC(=C3)O)C=CC=C2		0.52999997		
4-Fluoroantipyrine	CN1N(C2=CC=CC=C2)C(=O)C(=C1C)F		-0.050000001		
4-Hydroxyalprazolam	CC1=NN=C2C(O)N=C(C3=CC=CC=C3)C4=CC(=CC=C4[N]12)Cl		-1.48		
4-Hydroxymidazolam	CC1=NC=C2C(O)N=C(C3=CC=CC=C3F)C4=CC(=CC=C4[N]12)Cl		-0.097499996		
4-iodo-alpha,alpha'-dipiperidino-m-xylene	IC1=CC=C(C[NH+]2CCCCC2)C=C1C[NH+]3CCCCC3		0.98000002		
4-Iodoantipyrine OK 	CN1N(C2=CC=CC=C2)C(=O)C(=C1C)I		-0.1		
4-iodo-N,N'-isopropyl-m-xylenediamine	CCC(C)NC1=CC=C(I)C(=C1)NC(C)CC		0.63999999		
5-Butyl-5-ethyl barbituric acid (Butethal)	CCCCC1(CC)C(=O)NC(=O)NC1=O		0.189		
5-Heptyl-5-ethyl barbituric acid	CCCCCCCC1(CC)C(=O)NC(=O)NC1=O		0.0185		
5-Hexyl-5-ethyl barbituric acid	CCCCCCC1(CC)C(=O)NC(=O)NC1=O		0.36199999		
5-Methyl-5-ethyl barbituric acid	CCC1(C)C(=O)NC(=O)NC1=O		-0.001		
5-Octyl-5-ethyl barbituric acid	CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O		0.2405		
5-Pentyl-5-ethyl barbituric acid	CCCCCC1(CC)C(=O)NC(=O)NC1=O		0.088		
5-Propyl-5-ethyl barbituric acid	CCCC1(CC)C(=O)NC(=O)NC1=O		0.088		
9-Hydroxy-Risperidone	CC1=C(CC[NH+]2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)C(=O)N5CC(O)CCC5=N1		-0.67000002		
Acebutolol	CCCC(=O)NC1=CC(=C(OCC(O)C[NH2+]C(C)C)C=C1)C(C)=O		-0.15000001		
Acetaminophen (p-Acetamidophenol)	CC(=O)NC1=CC=C(O)C=C1		-0.46333301		
Acrylonitrile	C=CC#N		-0.40000001		
Acyclovir	NC1=NC2=C(N=C[N]2COCCO)C(=O)N1		-0.83600003		
AFE	CN(C)C1=C(SC2=CC=C(CCF)C=C2N)C=CC=C1		0.54900002		
Alovudine ok	CC1=CN(C2CC(F)C(CO)O2)C(=O)NC1=O		-0.58999997		
alpha-(4-pyridyl-1-oxide)-N-tert-butylnitrone	CC(C)(C)[N+](/[O-])=C\C1=CC=[N+]([O-])C=C1		-0.38		
alpha-Hydroxyalprazolam	OCC1=NN=C2CN=C(C3=CC=CC=C3)C4=CC(=CC=C4[N]12)Cl		-1.27		
Alprazolam	CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=CC(=C4)Cl)[N]12		0.019111101		
Alprenolol	CC(C)[NH2+]CC(O)COC1=C(CC=C)C=CC=C1		-0.23		
Aminopyrine OK	CN(C)C1=C(C)N(C)N(C2=CC=CC=C2)C1=O		0.0		
Amobarbital (5-Ethyl-5-(3-methylbutyl)barbital)	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O		0.039999999		
Amphetamine	CC([NH3+])CC1=CC=CC=C1		0.93000001		
Amprenavir	CC(C)CN(CC(O)C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)[S](=O)(=O)C3=CC=C(N)C=C3		-0.56		
Antipyrine OK	CN1N(C(=O)C=C1C)C2=CC=CC=C2		-0.118333		
Apaxifylline	CCCN1C(=O)N(CCC)C2=C([NH]C(=N2)C3CCC(=O)C3)C1=O		-1.4		
Atenolol	CC(C)[NH2+]CC(O)COC1=CC=C(CC(N)=O)C=C1		-0.92224997		
Atropine	C[NH+]1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3		-0.059999999		
Barbital (5-Ethyl-5-ethyl barbituric acid)	CCC1(CC)C(=O)NC(=O)NC1=O		-0.13850001		
BBCPD13 (SKB16)	[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)[NH]C=C1		-0.66000003		
BBCPD14 (cimetidine derivative) (SKB17)	[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)[NH]C=C1CC3=CC=CC=C3		-0.12		
BBCPD17 (ranitidine analog)	C[NH+](C)CC1=CC=C(CSCCNC2=C(C=C[NH]2)[N+]([O-])=O)O1		-1.12		
BBCPD23 (ranitidine analog) (SKB36) (2-pyridine-amine-n-33-n-piperidinyl-methylphenoxypropyl)	C1CC[NH+](CC1)CC2=CC(=CC=C2)OCCCNC3=CC=CC=[NH+]3		0.69		
BBCPD58 (guanidinothiazole der.)	CNC(NC1=CC=CC(=C1)C2=CSC(=N2)N=C(N)N)=NC#N		-1.54		
BBCPD60 (SKB25)	C[NH+](C)CC1=CC=C(CSCCNC2=C(C(=C[NH]2)CC3=CC=CC=C3)[N+]([O-])=O)O1		-0.73000002		
Beloxepin (Org-4428)	C[NH+]1CCC2(O)C(C1)C3=C(OC4=C2C=CC=C4)C(=CC=C3)C		0.81999999		
BESP	CCN1CN(C2=CC=C(Br)C=C2)C3(CC[NH+](CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O		-0.43000001		
Betaxolol	CC(C)[NH2+]CC(O)COC1=CC=C(CCOCC2CC2)C=C1		0.38999999		
Biperiden	OC(CC[NH+]1CCCCC1)(C2CC3CC2C=C3)C4=CC=CC=C4		0.84750003		
bis-hydroxylated L-663,581 (M2L-663581)	CN1CC2=C(N=C[N]2C3=CC=CC(=C3C1=O)Cl)C4=NOC(=N4)C(C)(O)CO		-1.8200001		
Bisphenol A	CC(C)(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2		-0.12		
BMS-184111 HCl	COC1=CC(=CC=C1)CC2CC[NH+](CC2)C3CCC(CC3)(OC)C4=CC5=C(OCO5)C=C4		0.74000001		
BMSP	CN1CN(C2=CC=C(Br)C=C2)C3(CC[NH+](CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O		-0.55000001		
BPSP	CCCN1CN(C2=CC=C(Br)C=C2)C3(CC[NH+](CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O		-0.0099999998		
Bretazenil	CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(C=CC=C4Br)[N]2C=N1		-0.090000004		
Bromocriptine	CC(C)CC1N2C(=O)C(NC(=O)C3C[NH+](C)C4CC5=C(Br)[NH]C6=CC=CC(=C56)C4=C3)(OC2(O)C7CCCN7C1=O)C(C)C		-1.1		
Bromocytisine	BrC1=CC=C2C3C[NH2+]CC(C3)CN2C1=O		-0.050000001		
Bromperidol	OC1(CC[NH+](CCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Br)C=C3		1.38		
BSP	FC1=CC=C(C=C1)C(=O)CCC[NH+]2CCC3(CC2)N(CNC3=O)C4=CC=C(Br)C=C4		0.07		
Bunitrolol	CC(C)(C)[NH2+]CC(O)COC1=C(C=CC=C1)C#N		0.38		
Bupropion (Zyban)	CC([NH2+]C(C)(C)C)C(=O)C1=CC(=CC=C1)Cl		1.4		
Buspirone	O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]3CCN(CC3)C4=NC=CC=N4		0.47999999		
