compound_name	smiles	CID	logBB	BBB+/BBB-	comments
1,1,1-Trichloroethane	CC(Cl)(Cl)Cl	6278.0	0.4		
2,2-Dimethylbutane	CCC(C)(C)C	6403.0	1.04		
2-Methylpentane	CCCC(C)C	7892.0	0.97		
2-Methylpropan-1-ol	CC(C)CO	6560.0	−0.17		
3-Methylhexane	CCCC(C)CC	11507.0	0.9		
3-Methylpentane	CCC(C)CC	7282.0	1.01		
Acetaminophen	CC(=O)NC1=CC=C(C=C1)O	1983.0	−0.31		
Alprazolam	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4	2118.0	0.044		
Amidazophen	CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C	6009.0	0		
Amitryptiline	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	2160.0	0.886		
Amobarbital	CCC1(C(=O)NC(=O)NC1=O)CCC(C)C	2164.0	0.04		
Antipyrine	CC1=CC(=O)N(N1C)C2=CC=CC=C2	2206.0	−0.097		
Argon	[Ar]	23968.0	0.03		
Atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	2249.0	−0.87		
Atropine	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	174174.0	−0.06		
Benzene	C1=CC=CC=C1	241.0	0.37		
Butanone	CCC(=O)C	6569.0	−0.08		
Caffeine	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	2519.0	−0.055		
Carbamazepine	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	2554.0	−0.14		
Chlorpromazine	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	2726.0	1.06		
Clobazam	CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3	2789.0	0.35		
Clonidine	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	2803.0	0.11		
