compound_name	smiles	CID	logBB	BBB+/BBB-	comments
Cimetidine	C(SCc1c(n(cn1)[H])C)CN/C(=N/C#N)/NC	2756.0	-1.42		
nan	Cc1csc(n1)/N=C(/N)\N	2776666.0	-0.04		
Icotidine	c1cc(c(nc1)CCCCN\C\1=N\C(=O)/C(=C\N1)/Cc1ccc(nc1)C)OC	72108.0	-2.0		
24	c1ccc2c(c1)ccc(c2)C\C\1=C\N/C(=N\C1=O)/NCCSCc1ccc(o1)CN(C)C	14022522.0	-1.3		
Lupitidine	Cc1ccc(cn1)C\C\1=C\N/C(=N\C1=O)/NCCSCc1ccc(o1)CN(C)C	4375468.0	-1.06		
Clonidine	c1ccc(c(c1Cl)N/C/1=N/CCN1)Cl	2803.0	0.11		
Pyrilamine	c1ccc(nc1)N(CCN(C)C)Cc1ccc(cc1)OC	4992.0	0.49		
Imipramine	C1c2ccccc2N(CCCN(C)C)c2c(cccc2)C1	3696.0	0.83		
Ranitidine	CN\C(=C/[N+](=O)[O–])\NCCSCc1ccc(o1)CN(C)C		-1.23		
Tiotidine	C(SCc1csc(n1)/N=C(/N)\N)CN/C(=N/C#N)/NC	50287.0	-0.82		
28	CN(c1nccc(c1)c1nn(c(n1)N)[H])C	12889418.0	-1.17		
30	CCN/C(=N/C#N)/NCCSCc1c(cccn1)Br	14022517.0	-2.15		
7	c1cc(c(nc1)CSCCNc1c(ccn1[H])[N+](=O)[O–])Br		-0.67		
8	c1ccnc(c1)CSCCNc1c(ccn1[H])[N+](=O)[O–]		-0.66		
9	c1ccc(cc1)Cc1cn(c(c1[N+](=O)[O–])NCCSCc1ccccn1)[H]		-0.12		
10	c1ccc(cc1)c1csc(n1)/N=C(/N)\N	3763607.0	-0.18		
11	c1ccc(cc1N)c1csc(n1)/N=C(/N)\N	14022509.0	-1.15		
12	c1ccc(cc1NC(=O)C)c1csc(n1)/N=C(/N)\N	14022511.0	-1.57		
13	CN\C(=N/C#N)\Nc1cccc(c1)c1csc(n1)/N=C(/N)\N	14022519.0	-1.54		
26	CN(Cc1ccc(o1)CSCCNc1c(ccn1[H])[N+](=O)[O–])C		-1.12		
27	c1ccc(cc1)Cc1cn(c(c1[N+](=O)[O–]) NCCSCc1ccc(o1)CN(C)C)[H]		-0.73		
14	CN(Cc1ccc(o1)c1cccc(c1)Nc1c(ccn1[H])[N+](=O)[O–])C		-0.27		
15	CN(Cc1ccnc(c1)c1cccc(c1)Nc1c(ccn1[H])[N+](=O)[O–])C		-0.28		
16	C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C	9971484.0	-0.46		
17	c1ccc(cc1)C(=O)NCCCOc1cccc(c1)CN1CCCCC1	10498206.0	-0.24		
18	C1CCN(CC1)Cc1cccc(c1)OCCCO	10444765.0	-0.02		
19	C1CCN(CC1)Cc1cccc(c1)OCCCNc1ccccn1	10019237.0	0.69		
20	C1CCN(Cc2cc(ccc2)OCCCNc2nccs2)CC1	14022497.0	0.44		
Zolantidine	C1CCN(Cc2cc(ccc2)OCCCNc2nc3ccccc3s2)CC1	91769.0	0.14		
22	C1CCN(Cc2cc(ccc2)OCCCNc2nc3ccccc3o2)CC1	14022499.0	0.22		
nan	NC(=O)N1c2c(cccc2)\C=C/c2ccccc12	2554.0	0.0		
nan	O1C2c3ccccc3N(c3c(cccc3)C12)C(=O)N	2555.0	-0.34		
nan	CN1C(=O)c2c(cccc2Cl)n2cnc(c2C1)c1noc(n1)C(C)C	129710.0	-0.3		
nan	OC(c1nc(no1)c1c2CN(C(=O)c3c(cccc3Cl)n2cn1)C)(C)C	10384745.0	-1.34		
nan	OCC(c1nc(no1)c1c2CN(C(=O)c3c(cccc3Cl)n2cn1)C)(C)O	10091748.0	-1.82		
