compound_name	smiles	CID	logBB	BBB+/BBB-	comments
1-(2-pyrimidinyl)-piperazine	c1(N2CCNCC2)ncccn1	88747.0	0.6	BBB+	
1,1,1-trichloroethane	CC(Cl)(Cl)Cl	6278.0	0.4	BBB+	
1,1,1-trifluoro-2-chloroethane	ClC(Cl)(Cl)CF	75397.0	0.08	BBB+	
1-hydroxymidazolam	Clc1ccc2c(C(c3c(F)cccc3)=NCC4=CN=C(CO)N24)c1	107917.0	-0.07	BBB+	
2,2-dimethylbutane	CC(C)(C)CC	6403.0	1.04	BBB+	
2,3,5,6-tetramethylpyrazine	Cc1nc(C)c(C)nc1C	14296.0	-0.1	BBB+	
2-methylpentane	CC(C)CCC	7892.0	0.97	BBB+	
2-methylpropan-1-ol	CC(C)CO	6560.0	-0.17	BBB+	
3-methylhexane	CCC(C)CCC	11507.0	0.9	BBB+	
3-methylpentane	CCC(C)CC	7282.0	1.01	BBB+	
4-hydroxymidazolam	CC1=NC=C2N1c3ccc(Cl)cc3C(c4c(F)cccc4)=NC2O	124449.0	-0.3	BBB+	
4-OH-TIQ	OC1c2ccccc2CNC1	11744792.0	0.32	BBB+	
6-mercaptopurine	S=C1C2=C(N=CN2)NC=N1	667490.0	-0.71	BBB+	
77-LH-28-1	O=C1CCC2=C(C=CC=C2)N1CCCN3CCC(CCCC)CC3	10236758.0	0.6	BBB+	
acetaminophen	Oc1ccc(NC(C)=O)cc1	1983.0	-0.41	BBB+	
acetazolamide	O=S(C1=NN=C(NC(C)=O)S1)(N)=O	1986.0	-0.52	BBB+	
acetylsalicylic acid, aspirin	OC(c1c(OC(C)=O)cccc1)=O	2244.0	-0.5	BBB+	
acyclovir	O=C1C2=C(N(COCCO)C=N2)NC(N)=N1	135398513.0	-0.5	BBB+	
AEE-788	CC(C1=CC=CC=C1)NC2=NC=NC3=C2C=C(C4=CC=C(CN5CCN(CC)CC5)C=C4)N3	11578515.0		BBB+	
alaptide	CC1C(NC2(CCCC2)C(N1)=O)=O	541931.0	-0.32	BBB+	
alfentanil, rapifen	CCN1N=NN(CCN2CCC(COC)(N(C3=CC=CC=C3)C(CCC)=O)CC2)C1=O		-0.71	BBB+	
almotriptan	O=S(CC1=CC2=C(NC=C2CCN(C)C)C=C1)(N3CCCC3)=O	123606.0		BBB+	
alovudine	O=C1N([C@@H]2O[C@H](CO)[C@@H](F)C2)C=C(C)C(N1)=O	33039.0	-0.85	BBB+	
alprazolam	CC1=NN=C2CN=C(c3ccccc3)c4cc(Cl)ccc4N21	2118.0	0.04	BBB+	
AM-36	Oc1c(C(C)(C)C)cc(CN2CCN(CC(O)c3ccc(Cl)cc3)CC2)cc1C(C)(C)C	9890390.0	0.91	BBB+	
amantadine	NC1(C2)CC3CC2CC(C3)C1	2130.0		BBB+	
