compound_name	smiles	CID	logBB	BBB+/BBB-	comments
1	CN\C(NCCSCC1=C(C)NC=N1)=N/C#N		-1.42		
2	CC1=CSC(N=C(N)N)=N1		-0.04		
3	COC1=CC=CN=C1CCCCNC1=NC(=O)C(CC2=CC=C(C)N=C2)=CN1		-2		
4	CN(C)CC1=CC=C(CSCCNC2=NC(=O)C(CC3=CC4=CC=CC=C4C=C3)=CN2)O1		-1.3		
5	CC1CC=C(CC2=CNC(NCCSCC3=CC=C(CN(C)C)O3)=NC2=O)C=N1		-1.06		
6	ClC1=CC=CC(Cl)=C1NC1NCC=N1		0.11		
7	COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1		0.49
8	CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2		0.83		
9	CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O		-1.23		
10	CN\C(NCCSCC1=CSC(N=C(N)N)=N1)=N/C#N		-0.82		
11	CN(C)C1=CC(=CC=N1)C1=NNC(N)=N1		-1.17		
12	CCN\C(NCCSCC1=NC=CC=C1Br)=N/C#N		-2.15		
13	[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2Br)NC=C1		-0.67		
14	[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)NC=C1		-0.66		
15	[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)NC=C1CC1=CC=CC=C1		-0.12		
16	NC(N)=NC1=NC(=CS1)C1=CC=CC=C1		-0.18		
17	NC(N)=NC1=NC(=CS1)C1=CC=CC(N)=C1		-1.15		
18	CC(=O)NC1=CC(=CC=C1)C1=CSC(N=C(N)N)=N1		-1.57		
19	CN\C(NC1=CC(=CC=C1)C1=CSC(N=C(N)N)=N1)=N/C		-1.54		
20	CN(C)CC1=CC=C(CSCCNC2=C(C=CN2)[N+]([O-])=O)O1		-1.12		
21	CN(C)CC1=CC=C(CSCCNC2=C(C(CC3=CC=CC=C3)=CN2)[N+]([O-])=O)O1		-0.73		
22	CN(C)CC1=CC=C(O1)C1=CC=CC(NC2=C(C=CN2)[N+]([O-])=O)=C1		-0.27		
23	CN(C)CC1=CC(=NC=C1)C1=CC=CC(NC2=C(C=CN2)[N+]([O-])=O)=C1		-0.28		
24	CC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1		-0.46		
25	O=C(NCCCOC1=CC=CC(CN2CCCCC2)=C1)C1=CC=CC=C1		-0.24		
26	OCCCOC1=CC=CC(CN2CCCCC2)=C1		-0.02		
27	C(CNC1=NC=CC=C1)COC1=CC=CC(CN2CCCCC2)=C1		0.69		
28	C(CNC1=NC=CS1)COC1=CC=CC(CN2CCCCC2)=C1		0.44		
29	C(CNC1=NC2=C(S1)C=CC=C2)COC1=CC=CC(CN2CCCCC2)=C1		0.14		
30	C(CNC1=NC2=C(O1)C=CC=C2)COC1=CC=CC(CN2CCCCC2)=C1		0.22		
butanone			-0.08		
benzene			0.37		
3-methylpentane			1.01		
3-methylhexane			0.9		
2-propanol			-0.15		
2-methylpropanol			-0.17		
2-methylpentane			0.97		
2,2-dimethylbutane			1.04		
1,1,1-trifluoro-2-chloroethane			0.08		
1,1,1-trichloroethane			0.4		
diethyl ether			0		
enflurane			0.24		
ethanol			-0.16		
fluroxene			0.13		
halothane			0.35		
heptane			0.81		
hexane			0.8		
isoflurane			0.42		
methane			0.04		
methylcyclopentane			0.93		
nitrogen			0.03		
pentane			0.76		
propanol			-0.16		
propanone			-0.15		
teflurane			0.27		
toluene			0.37		
trichloroethene			0.34		
Y14	CNCCC1=CC=CC=N1		-0.3		
Y-G15	CN(C)CCC1=NC=CC=C1		-0.06		
Y-G16	NCCC1=NC=CS1		-0.42		
Y-G19	NCCC1=NC(=CS1)C1=CC=CC=C1		-1.3		
Y-G20	NCCC1=CN2C=CC=CC2=N1		-1.4		
SKF 89124	CCCN(CCC)CCC1=C2CC(=O)NC2=C(C=C1)O		-0.43		
SKF 101468	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1		0.25		
31	NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2		0		
32	NC(=O)N1C2=CC=CC=C2C2OC2C2=C1C=CC=C2		-0.34		
33	CC(C)C1=NC(=NO1)C1=C2CN(C)C(=O)C3=C(Cl)C=CC=C3N2C=N1		-0.3		
34	CN1CC2=C(N=CN2C2=CC=CC(Cl)=C2C1=O)C1=NOC(=N1)C(C)(C)O		-1.34		
35	CN1CC2=C(N=CN2C2=CC=CC(Cl)=C2C1=O)C1=NOC(=N1)C(C)(O)CO		-1.82		
36	CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2		0.85		
